Source,Source_Type,Fire_Category,Souce_ID,Fire_Name,DateTime,Latitude,Longitude,Magnitude,Cause_or_Type
FF,FO,WF,14093,STRAIGHT PEAK,2006-09-09T17:00:00Z,46.88166667,-114.88111111,0.75,1
FF,FO,WF,14209,GENTRY,2006-08-24T17:30:00Z,46.83861111,-114.80472222,0.2,1
FF,FO,WF,14252,WILLIAMS GULCH,2006-09-07T21:00:00Z,46.38416667,-113.66722222,0.1,1
FF,FO,WF,14257,BLUE MTN. #4,2006-09-15T01:00:00Z,46.80166667,-114.15194444,0.1,9
FF,FO,WF,14261,GRAVE CREEK MEADOWS,2006-10-12T01:30:00Z,46.80222222,-114.38416667,4.0,3
FF,FO,WF,14499,SAWMILL GULCH,2006-08-18T20:20:00Z,46.97444444,-114.56,4.0,1
FF,FO,WF,14826,INEZ,2006-07-03T04:31:00Z,47.28666667,-113.56388889,0.1,6
FF,FO,WF,14853,SWAMP CREEK,2006-07-05T22:00:00Z,47.20388889,-113.40694444,0.1,1
FF,FO,WF,14860,MORRELL #1,2006-07-07T00:50:00Z,47.19527778,-113.34361111,0.1,1
FF,FO,WF,14864,LAKE ALVA,2006-07-16T19:08:00Z,47.32611111,-113.58444444,0.1,2
FF,FO,WF,14886,MORRELL #2,2006-07-23T04:00:00Z,47.19361111,-113.35527778,0.1,9
FF,FO,WF,14898,COTTONWOOD LAKE,2006-07-11T15:30:00Z,47.16388889,-113.34472222,0.1,9
FF,FO,WF,14905,BIG LARCH,2006-07-30T17:00:00Z,47.18333333,-113.49083333,0.1,9
FF,FO,WF,14910,SOUTH INEZ,2006-08-10T00:00:00Z,47.27138889,-113.56166667,0.1,7
FF,FO,WF,14921,RICHMOND CREEK,2006-08-10T21:40:00Z,47.32944444,-113.5675,0.25,1
FF,FO,WF,14948,CAMP CREEK,2006-08-11T18:00:00Z,47.28638889,-113.52027778,0.1,1
FF,FO,WF,14956,LITTLE SHANLEY,2006-08-11T05:30:00Z,47.17027778,-113.27333333,2.5,1
FF,FO,WF,14965,HAPPY CAMPER,2006-08-11T19:44:00Z,47.28166667,-113.50722222,0.1,9
FF,FO,WF,14977,MORRELL #3,2006-08-11T20:27:00Z,47.21472222,-113.36861111,0.1,1
FF,FO,WF,14986,MORRELL CREEK,2006-08-12T16:00:00Z,47.30944444,-113.47166667,0.1,1
FF,FO,WF,14996,TIKI TORCH,2006-08-14T18:07:00Z,47.28611111,-113.565,0.1,2
FF,FO,WF,15027,SUMMIT,2006-08-14T23:00:00Z,47.38166667,-113.60333333,0.1,1
FF,FO,WF,15038,CAMP PASS,2006-08-21T20:12:00Z,47.18416667,-113.05277778,0.5,1
FF,FO,WF,15046,LITTLE PHOEBE,2006-08-21T00:00:00Z,46.99194444,-114.96638889,0.3,1
FF,FO,WF,15058,BIG LARCH #2,2006-08-16T17:50:00Z,47.18388889,-113.49083333,0.1,9
FF,FO,WF,15073,SEELEY LANE,2006-08-20T01:30:00Z,47.18305556,-113.48194444,0.1,9
FF,FO,WF,15083,MCCABE POINT,2006-09-10T19:30:00Z,47.12472222,-113.04527778,80.0,1
FF,FO,WF,15088,PTARMIGAN,2006-09-10T23:00:00Z,47.38222222,-113.51861111,67.0,1
FF,FO,WF,15093,MONTURE CREEK,2006-10-19T22:45:00Z,47.1,-113.14777778,0.1,9
FF,FO,WF,15095,NEWMAN RIDGE,2006-08-22T22:45:00Z,47.30055556,-115.22833333,1.2,1
FF,FO,WF,15101,MOORE LAKE,2006-09-09T03:30:00Z,47.18305556,-115.24305556,0.5,1
FF,FO,WF,15106,BRIMSTONE,2006-09-09T20:30:00Z,47.44944444,-115.64361111,0.1,1
FF,FO,WF,15111,12 MILE,2006-09-06T22:40:00Z,47.46944444,-115.29972222,35.0,1
FF,FO,WF,15115,SLOWAY,2006-07-06T23:15:00Z,47.23916667,-115.01638889,0.1,1
FF,FO,WF,15116,THOMPSON PEAK,2006-07-06T20:30:00Z,47.16638889,-114.91638889,0.1,1
FF,FO,WF,15118,CHIMNEY ROCK,2006-07-06T02:00:00Z,47.14972222,-114.885,0.1,1
FF,FO,WF,15120,WOOD GULCH,2006-08-17T01:45:00Z,47.24861111,-114.89972222,0.1,1
FF,FO,WF,15140,TRAIL LAKE,2006-08-14T22:00:00Z,46.99833333,-115.06083333,8.0,1
FF,FO,WF,15249,TERRACE SPRING,2006-08-01T22:45:00Z,47.17916667,-114.70638889,0.1,3
FF,FO,WF,15253,SYDNEY,2006-08-01T18:45:00Z,47.23388889,-115.19722222,0.1,9
FF,FO,WF,15256,CAMP FOUR,2006-08-22T22:40:00Z,47.18694444,-114.78805556,0.1,1
FF,FO,WF,15257,FALL WIND,2006-08-21T18:20:00Z,47.02222222,-114.92027778,0.1,1
FF,FO,WF,15258,LIME CREEK,2006-09-04T21:55:00Z,47.06666667,-114.96388889,8.0,1
FF,FO,WF,15261,WIND FALL,2006-08-21T01:00:00Z,47.00166667,-114.92027778,0.1,1
FF,FO,WF,15266,SUNRISE,2006-08-20T23:30:00Z,47.02666667,-114.88888889,0.5,1
FF,FO,WF,15285,JENSEN,2006-07-18T02:00:00Z,47.32027778,-115.12083333,0.1,7
FF,FO,WF,15303,CEDAR CREEK,2006-08-09T23:30:00Z,47.05333333,-115.02555556,0.3,1
FF,FO,WF,15314,HOMESTAKE,2006-08-11T05:00:00Z,47.03222222,-115.04638889,0.5,1
FF,FO,WF,15330,LITTLE JOE,2006-07-30T20:30:00Z,47.23333333,-115.19805556,0.1,9
FF,FO,WF,15341,SALTESE  SOUTH,2006-08-15T20:30:00Z,47.39555556,-115.52333333,4.0,1
